title,publisher,citation,abstract,keywords,author_university
SUB-GAUSSIAN ESTIMATORS OF THE MEAN OF A RANDOM MATRIX WITH HEAVY-TAILED ENTRIES,ANNALS OF STATISTICS,44,"Estimation of the covariance matrix has attracted a lot of attention of the statistical research community over the years, partially due to important applications such as principal component analysis. However, frequently used empirical covariance estimator, and its modifications, is very sensitive to the presence of outliers in the data. As P. Huber wrote [Ann. Math. Stat. 35 (1964) 73-101], ""... This raises a question which could have been asked already by Gauss, but which was, as far as I know, only raised a few years ago (notably by Tukey): what happens if the true distribution deviates slightly from the assumed normal one? As is now well known, the sample mean then may have a catastrophically bad performance...."" Motivated by Tukey's question, we develop a new estimator of the (element-wise) mean of a random matrix, which includes covariance estimation problem as a special case. Assuming that the entries of a matrix possess only finite second moment, this new estimator admits sub-Gaussian or sub-exponential concentration around the unknown mean in the operator norm. We explain the key ideas behind our construction, and discuss applications to covariance estimation and matrix completion problems.","Random matrix,heavy tails,concentration inequality,covariance estimation,matrix completion","Minsker, Stanislav@University of Southern California"
CAUSAL INFERENCE IN PARTIALLY LINEAR STRUCTURAL EQUATION MODELS,ANNALS OF STATISTICS,31,"We consider identifiability of partially linear additive structural equation models with Gaussian noise (PLSEMs) and estimation of distributionally equivalent models to a given PLSEM. Thereby, we also include robustness results for errors in the neighborhood of Gaussian distributions. Existing identifiability results in the framework of additive SEMs with Gaussian noise are limited to linear and nonlinear SEMs, which can be considered as special cases of PLSEMs with vanishing nonparametric or parametric part, respectively. We close the wide gap between these two special cases by providing a comprehensive theory of the identifiability of PLSEMs by means of (A) a graphical, (B) a transformational, (C) a functional and (D) a causal ordering characterization of PLSEMs that generate a given distribution P. In particular, the characterizations (C) and (D) answer the fundamental question to which extent nonlinear functions in additive SEMs with Gaussian noise restrict the set of potential causal models, and hence influence the identifiability.

On the basis of the transformational characterization (B) we provide a score-based estimation procedure that outputs the graphical representation (A) of the distribution equivalence class of a given PLSEM. We derive its (high-dimensional) consistency and demonstrate its performance on simulated datasets.","Causal inference,distribution equivalence class,graphical model,high-dimensional consistency,partially linear structural equation model","Rothenhaeusler, Dominik@ETH Zurich::Ernest, Jan@ETH Zurich::Buehlmann, Peter@ETH Zurich"
ON MSE-OPTIMAL CROSSOVER DESIGNS,ANNALS OF STATISTICS,14,"In crossover designs, each subject receives a series of treatments one after the other. Most papers on optimal crossover designs consider an estimate which is corrected for carryover effects. We look at the estimate for direct effects of treatment, which is not corrected for carryover effects. If there are carryover effects, this estimate will be biased. We try to find a design that minimizes the mean square error, that is, the sum of the squared bias and the variance. It turns out that the designs which are optimal for the corrected estimate are highly efficient for the uncorrected estimate.","Optimal design,crossover design,MSE-optimality","Neumann, Christoph@Dortmund University of Technology::Kunert, Joachim@Dortmund University of Technology"
TESTING FOR PERIODICITY IN FUNCTIONAL TIME SERIES,ANNALS OF STATISTICS,33,"We derive several tests for the presence of a periodic component in a time series of functions. We consider both the traditional setting in which the periodic functional signal is contaminated by functional white noise, and a more general setting of a weakly dependent contaminating process. Several forms of the periodic component are considered. Our tests are motivated by the likelihood principle and fall into two broad categories, which we term multivariate and fully functional. Generally, for the functional series that motivate this research, the fully functional tests exhibit a superior balance of size and power. Asymptotic null distributions of all tests are derived and their consistency is established. Their finite sample performance is examined and compared by numerical studies and application to pollution data.","Functional data,time series data,periodicity,spectral analysis,testing,asymptotics","Hoermann, Siegfried@Graz University of Technology::Kokoszka, Piotr@Colorado State University::Nisol, Gilles@Universite Libre de Bruxelles"
LIMITING BEHAVIOR OF EIGENVALUES IN HIGH-DIMENSIONAL MANOVA VIA RMT,ANNALS OF STATISTICS,38,"In this paper, we derive the asymptotic joint distributions of the eigenvalues under the null case and the local alternative cases in the MANOVA model and multiple discriminant analysis when both the dimension and the sample size are large. Our results are obtained by random matrix theory (RMT) without assuming normality in the populations. It is worth pointing out that the null and nonnull distributions of the eigenvalues and invariant test statistics are asymptotically robust against departure from normality in high-dimensional situations. Similar properties are pointed out for the null distributions of the invariant tests in multivariate regression model. Some new formulas in RMT are also presented.","Asymptotic distribution,eigenvalues,discriminant analysis,high-dimensional case,MANOVA,nonnormality,RMT,test statistics","Bai, Zhidong@Northeast Normal University - China::Choi, Kwok Pui@National University of Singapore::Fujikoshi, Yasunori@Hiroshima University"
OVERCOMING THE LIMITATIONS OF PHASE TRANSITION BY HIGHER ORDER ANALYSIS OF REGULARIZATION TECHNIQUES,ANNALS OF STATISTICS,46,"We study the problem of estimating a sparse vector beta is an element of R-p from the response variables y = X beta + omega, where omega similar to N(0, sigma(2)(omega) I-nxn), under the following high-dimensional asymptotic regime: given a fixed number delta, p -> infinity, while n/p -> delta. We consider the popular class of l(q)-regularized least squares (LQLS), a.k.a. bridge estimators, given by the optimization problem

(beta) over cap(lambda, q) is an element of arg min(beta) 1/2 parallel to y - X beta parallel to(2)(2) + lambda parallel to beta parallel to(q)(q),

and characterize the almost sure limit of 1/p parallel to(beta) over cap(lambda, q) - beta parallel to(2)(2), and call it asymptotic mean square error (AMSE). The expression we derive for this limit does not have explicit forms, and hence is not useful in comparing LQLS for different values of delta, or providing information in evaluating the effect of d or sparsity level of beta. To simplify the expression, researchers have considered the ideal ""error-free"" regime, that is, omega = 0, and have characterized the values of d for which AMSE is zero. This is known as the phase transition analysis.

In this paper, we first perform the phase transition analysis of LQLS. Our results reveal some of the limitations and misleading features of the phase transition analysis. To overcome these limitations, we propose the small error analysis of LQLS. Our new analysis framework not only sheds light on the results of the phase transition analysis, but also describes when phase transition analysis is reliable, and presents a more accurate comparison among different regularizers.","Bridge regression,phase transition,comparison of estimators,small error regime,second-order term,asymptotic mean square error,optimal tuning","Weng, Haolei@Columbia University::Maleki, Arian@Columbia University::Zheng, Le@Columbia University"
TWO-SAMPLE KOLMOGOROV-SMIRNOV-TYPE TESTS REVISITED: OLD AND NEW TESTS IN TERMS OF LOCAL LEVELS,ANNALS OF STATISTICS,29,"From a multiple testing viewpoint, Kolmogorov-Smirnov (KS)-type tests are union-intersection tests which can be redefined in terms of local levels. The local level perspective offers a new viewpoint on ranges of sensitivity of KS-type tests and the design of new tests. We study the finite and asymptotic local level behavior of weighted KS tests which are either tail, intermediate or central sensitive. Furthermore, we provide new tests with approximately equal local levels and prove that the asymptotics of such tests with sample sizes m and n coincides with the asymptotics of one-sample higher criticism tests with sample size min(m, n). We compare the overall power of various tests and introduce local powers that are in line with local levels. Finally, suitably parameterized local level shape functions can be used to design new tests. We illustrate how to combine tests with different sensitivity in terms of local levels.","Goodness-of-fit,higher criticism test,local levels,multiple hypotheses testing,nonparametric two-sample tests,order statistics,weighted Brownian bridge","Finner, Helmut@Heinrich Heine University Dusseldorf@Deutsches Diabetes-Zentrum (DDZ)::Gontscharuk, Veronika@Heinrich Heine University Dusseldorf@Deutsches Diabetes-Zentrum (DDZ)"
ROBUST GAUSSIAN STOCHASTIC PROCESS EMULATION,ANNALS OF STATISTICS,41,"We consider estimation of the parameters of a Gaussian Stochastic Process (GaSP), in the context of emulation (approximation) of computer models for which the outcomes are real-valued scalars. The main focus is on estimation of the GaSP parameters through various generalized maximum likelihood methods, mostly involving finding posterior modes; this is because full Bayesian analysis in computer model emulation is typically prohibitively expensive.

The posterior modes that are studied arise from objective priors, such as the reference prior. These priors have been studied in the literature for the situation of an isotropic covariance function or under the assumption of separability in the design of inputs for model runs used in the GaSP construction. In this paper, we consider more general designs (e.g., a Latin Hypercube Design) with a class of commonly used anisotropic correlation functions, which can be written as a product of isotropic correlation functions, each having an unknown range parameter and a fixed roughness parameter. We discuss properties of the objective priors and marginal likelihoods for the parameters of the GaSP and establish the posterior propriety of the GaSP parameters, but our main focus is to demonstrate that certain parameterizations result in more robust estimation of the GaSP parameters than others, and that some parameterizations that are in common use should clearly be avoided. These results are applicable to many frequently used covariance functions, for example, power exponential, Matern, rational quadratic and spherical covariance. We also generalize the results to the GaSP model with a nugget parameter. Both theoretical and numerical evidence is presented concerning the performance of the studied procedures.","Anisotropic covariance,emulation,Gaussian stochastic process,objective priors,posterior propriety,robust parameter estimation","Gu, Mengyang@Johns Hopkins University::Wang, Xiaojing@University of Connecticut::Berger, James O.@Duke University"
CONVERGENCE OF CONTRASTIVE DIVERGENCE ALGORITHM IN EXPONENTIAL FAMILY,ANNALS OF STATISTICS,44,"The Contrastive Divergence ( CD) algorithm has achieved notable success in training energy-based models including Restricted Boltzmann Machines and played a key role in the emergence of deep learning. The idea of this algorithm is to approximate the intractable term in the exact gradient of the log-likelihood function by using short Markov chain Monte Carlo (MCMC) runs. The approximate gradient is computationally-cheap but biased. Whether and why the CD algorithm provides an asymptotically consistent estimate are still open questions. This paper studies the asymptotic properties of the CD algorithm in canonical exponential families, which are special cases of the energy-based model. Suppose the CD algorithm runs m MCMC transition steps at each iteration t and iteratively generates a sequence of parameter estimates {theta(t)}(t >= 0) given an i.i.d. data sample {X-i}(i=1)(n) similar to p(theta star). Under conditions which are commonly obeyed by the CD algorithm in practice, we prove the existence of some bounded m such that any limit point of the time average Sigma(t-1)(s=0) theta(s)/t as t -> infinity is a consistent estimate for the true parameter theta(star). Our proof is based on the fact that {theta(t)}(t >= 0) is a homogenous Markov chain conditional on the data sample {X-i}(i=1)(n). This chain meets the Foster-Lyapunov drift criterion and converges to a random walk around the maximum likelihood estimate. The range of the random walk shrinks to zero at rate O(1/(3)root n) as the sample size n -> infinity.","Contrastive Divergence,exponential family,convergence rate","Jiang, Bai@Stanford University::Wu, Tung-Yu@Stanford University::Jin, Yifan@Stanford University::Wong, Wing H.@Stanford University"
OPTIMAL ADAPTIVE ESTIMATION OF LINEAR FUNCTIONALS UNDER SPARSITY,ANNALS OF STATISTICS,12,"We consider the problem of estimation of a linear functional in the Gaussian sequence model where the unknown vector theta is an element of R-d belongs to a class of s-sparse vectors with unknown s. We suggest an adaptive estimator achieving a nonasymptotic rate of convergence that differs from the minimax rate at most by a logarithmic factor. We also show that this optimal adaptive rate cannot be improved when s is unknown. Furthermore, we address the issue of simultaneous adaptation to s and to the variance sigma(2) of the noise. We suggest an estimator that achieves the optimal adaptive rate when both s and sigma(2) are unknown.","Nonasymptotic minimax estimation,adaptive estimation,linear functional,sparsity,unknown noise variance","Collier, Olivier@Universite Paris Saclay (ComUE)@Universite de Versailles Saint-Quentin-En-Yvelines@Universite Paris Nanterre@Universite Paris Saclay::Comminges, Laetitia@PSL Research University Paris (ComUE)@Universite Paris-Dauphine::Tsybakov, Alexandre B.@Universite Paris Saclay (ComUE)@ENSAE ParisTech::Verzelen, Nicolas@Institut National de la Recherche Agronomique (INRA)"
HIGH-DIMENSIONAL CONSISTENCY IN SCORE-BASED AND HYBRID STRUCTURE LEARNING,ANNALS OF STATISTICS,59,"Main approaches for learning Bayesian networks can be classified as constraint-based, score-based or hybrid methods. Although high-dimensional consistency results are available for constraint-based methods like the PC algorithm, such results have not been proved for score-based or hybrid methods, and most of the hybrid methods have not even shown to be consistent in the classical setting where the number of variables remains fixed and the sample size tends to infinity. In this paper, we show that consistency of hybrid methods based on greedy equivalence search (GES) can be achieved in the classical setting with adaptive restrictions on the search space that depend on the current state of the algorithm. Moreover, we prove consistency of GES and adaptively restricted GES (ARGES) in several sparse high-dimensional settings. ARGES scales well to sparse graphs with thousands of variables and our simulation study indicates that both GES and ARGES generally outperform the PC algorithm.","Bayesian network,directed acyclic graph (DAG),linear structural equation model (linear SEM),structure learning,greedy equivalence search (GES),score-based method,hybrid method,high-dimensional data,consistency","Nandy, Preetam@ETH Zurich::Hauser, Alain@Unknow::Maathuis, Marloes H.@ETH Zurich"
ESTIMATION OF A MONOTONE DENSITY IN s-SAMPLE BIASED SAMPLING MODELS,ANNALS OF STATISTICS,36,"We study the nonparametric estimation of a decreasing density function go in a general s-sample biased sampling model with weight (or bias) functions w(i )for i = 1, ...,s. The determination of the monotone maximum likelihood estimator (g) over cap (n) and its asymptotic distribution, except for the case when s = 1, has been long missing in the literature due to certain nonstandard structures of the likelihood function, such as nonseparability and a lack of strictly positive second order derivatives of the negative of the log-likelihood function. The existence, uniqueness, self-characterization, consistency of (g) over cap (n) and its asymptotic distribution at a fixed point are established in this article. To overcome the barriers caused by nonstandard likelihood structures, for instance, we show the tightness of (g) over cap (n) via a purely analytic argument instead of an intrinsic geometric one and propose an indirect approach to attain the root n-rate of convergence of the linear functional integral w(i )(g) over cap (n).","Density estimation,empirical process theory,Karush-Kuhn-Tucker conditions,nonparametric estimation,order statistics from multiple samples,self-induced characterization,shape-constrained problem,s-sample biased sampling","Chan, Kwun Chuen Gary@University of Washington@University of Washington Seattle::Ling, Hok Kan@Columbia University::Sit, Tony@Chinese University of Hong Kong::Yam, Sheung Chi Phillip@Chinese University of Hong Kong"
A NEW PERSPECTIVE ON ROBUST M-ESTIMATION: FINITE SAMPLE THEORY AND APPLICATIONS TO DEPENDENCE-ADJUSTED MULTIPLE TESTING,ANNALS OF STATISTICS,51,"Heavy-tailed errors impair the accuracy of the least squares estimate, which can be spoiled by a single grossly outlying observation. As argued in the seminal work of Peter Huber in 1973 [Ann. Statist. 1 (1973) 799-821], robust alternatives to the method of least squares are sorely needed. To achieve robustness against heavy-tailed sampling distributions, we revisit the Huber estimator from a new perspective by letting the tuning parameter involved diverge with the sample size. In this paper, we develop nonasymptotic concentration results for such an adaptive Huber estimator, namely, the Huber estimator with the tuning parameter adapted to sample size, dimension and the variance of the noise. Specifically, we obtain a sub-Gaussian-type deviation inequality and a nonasymptotic Bahadur representation when noise variables only have finite second moments. The nonasymptotic results further yield two conventional normal approximation results that are of independent interest, the Berry-Esseen inequality and Cramer-type moderate deviation. As an important application to large-scale simultaneous inference, we apply these robust normal approximation results to analyze a dependence-adjusted multiple testing procedure for moderately heavy-tailed data. It is shown that the robust dependence-adjusted procedure asymptotically controls the overall false discovery proportion at the nominal level under mild moment conditions. Thorough numerical results on both simulated and real datasets are also provided to back up our theory.","Approximate factor model,Bahadur representation,false discovery proportion,heavy-tailed data,Huber loss,large-scale multiple testing,M-estimator","Zhou, Wen-Xin@University of California San Diego@University of California System::Bose, Koushiki@Princeton University::Fan, Jianqing@Fudan University@Princeton University::Liu, Han@Princeton University"
VARIABLE SELECTION WITH HAMMING LOSS,ANNALS OF STATISTICS,28,"We derive nonasymptotic bounds for the minimax risk of variable selection under expected Hamming loss in the Gaussian mean model in R-d for classes of at most s-sparse vectors separated from 0 by a constant a > 0. In some cases, we get exact expressions for the nonasymptotic minimax risk as a function of d, s, a and find explicitly the minimax selectors. These results are extended to dependent or non-Gaussian observations and to the problem of crowdsourcing. Analogous conclusions are obtained for the probability of wrong recovery of the sparsity pattern. As corollaries, we derive necessary and sufficient conditions for such asymptotic properties as almost full recovery and exact recovery. Moreover, we propose data-driven selectors that provide almost full and exact recovery adaptively to the parameters of the classes.","Adaptive variable selection,almost full recovery,exact recovery,Hamming loss,minimax selectors,nonasymptotic minimax selection bounds,phase transitions","Butucea, Cristina@Universite Paris-Est Marne-la-Vallee@Universite Paris Saclay@Universite Paris-Est-Creteil-Val-de-Marne (UPEC)@ENSAE ParisTech@CNRS - National Institute for Mathematical Sciences (INSMI)@Centre National de la Recherche Scientifique (CNRS)@Universite Paris Saclay (ComUE)@Universite Paris-Est (ComUE)::Ndaoud, Mohamed@Universite Paris Saclay (ComUE)@Universite Paris Saclay@ENSAE ParisTech::Stepanova, Natalia A.@Carleton University::Tsybakov, Alexandre B.@Universite Paris Saclay (ComUE)@Universite Paris Saclay@ENSAE ParisTech"
RANDOMIZATION-BASED CAUSAL INFERENCE FROM SPLIT-PLOT DESIGNS,ANNALS OF STATISTICS,32,"Under the potential outcomes framework, we propose a randomization based estimation procedure for causal inference from split-plot designs, with special emphasis on 2(2) designs that naturally arise in many social, behavioral and biomedical experiments. Point estimators of factorial effects are obtained and their sampling variances are derived in closed form as linear combinations of the between- and within-group covariances of the potential outcomes. Results are compared to those under complete randomization as measures of design efficiency. Conservative estimators of these sampling variances are proposed. Connection of the randomization-based approach to inference based on the linear mixed effects model is explored. Results on sampling variances of point estimators and their estimators are extended to general split-plot designs. The superiority over existing model-based alternatives in frequency coverage properties is reported under a variety of simulation settings for both binary and continuous outcomes.","Between-whole-plot additivity,model-based inference,Neymanian inference,potential outcomes framework,projection matrix,within-whole-plot additivity","Zhao, Anqi@Harvard University::Ding, Peng@University of California System@University of California Berkeley::Mukerjee, Rahul@Indian Institute of Management Calcutta::Dasgupta, Tirthankar@Rutgers State University New Brunswick"
